from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246109524611754+1866224+1,246109524611754+1865883+1,1,
33,33,,,246101524611765+1866253+1,246103424610365+1865901+1,1,
33,33,,,246106724610842+1866254+1,246106724610842+1865902+1,1,
33,33,,,246108924610914+1866254+1,246108924610914+1865902+1,1,
33,33,,,246109524611751+1866254+1,246109524611751+1865902+1,1,
33,33,,,246103224610412+1866256+1,246103224610332+1865904+1,1,
33,33,,,246100124610015+1866266+1,246100124610015+1865910+1,1,
33,33,,,246106124610633+1866267+1,246106124610633+1865911+1,1,
33,33,,,246106724610842+1866267+1,246106724610842+1865911+1,1,
33,33,,,246109524611751+1866267+1,246109524611751+1865911+1,1,
33,33,,,246104624610561+1866276+1,246104624610561+1865916+1,1,
33,33,,,246106724610843+1866276+1,246106724610843+1865916+1,1,
33,33,,,246108924610912+1866276+1,246108924610912+1865916+1,1,
33,33,,,246109524611751+1866276+1,246109524611751+1865916+1,1,
33,33,,,246101524611765+1866284+1,246105024611765+1865939+1,1,
33,33,,,246106124610632+1866285+1,246106124610632+1865937+1,1,
33,33,,,246106124610633+1866285+1,246106124610633+1865937+1,1,
33,33,,,246106124610634+1866285+1,246106124610634+1865937+1,1,
33,33,,,246106724610843+1866285+1,246106724610843+1865937+1,1,
33,33,,,246100124610015+1866292+1,246100124610015+1865946+1,1,
33,33,,,246101524611765+1866292+1,246101524610295+1865946+1,1,
33,33,,,246101124610281+1866293+1,246101124610281+1865947+1,1,
33,33,,,246104624610561+1866293+1,246104624610561+1865947+1,1,
33,33,,,246103224610412+1866295+1,246103224610412+1865949+1,1,
33,33,,,246103624610435+1866300+0,246103224610365+1862949+0,1,
33,33,,,246103624610435+1866300+0,246103924610435+1862949+0,1,
33,33,,,246101124610283+1866301+0,246101124610283+1862950+0,1,
33,33,,,246104624610562+1866301+0,246104624610562+1862950+0,1,
33,33,,,246109524611753+1866301+0,246109524611753+1862950+0,1,
33,33,,,246109524611754+1866301+0,246109524611754+1862950+0,1,
33,33,,,246100124610015+1866305+0,246100124610015+1865961+0,1,
33,33,,,246101124610282+1866306+0,246101124610282+1865962+0,1,
33,33,,,246101124610283+1866306+0,246101124610283+1865962+0,1,
33,33,,,246104624610562+1866306+0,246104624610562+1865962+0,1,
33,33,,,246106724610842+1866306+0,246106724610842+1865962+0,1,
33,33,,,246109524611751+1866306+0,246109524611751+1865962+0,1,
33,33,,,246109524611752+1866306+0,246109524611752+1865962+0,1,
33,33,,,246103224610411+1866308+0,246103224610401+1865964+0,1,
33,33,,,246100424610051+1866320+0,246100424610051+1865977+0,1,
33,33,,,246101124610282+1866320+0,246101124610282+1865977+0,1,
33,33,,,246101124610284+1866320+0,246101124610284+1865977+0,1,
33,33,,,246104624610563+1866320+0,246104624610563+1865977+0,1,
33,33,,,246106724610843+1866320+0,246106724610843+1865977+0,1,
33,33,,,246101124610283+1866332+0,246101124610283+1865987+0,1,
33,33,,,246103224610413+1866334+0,246103924610413+1865989+0,1,
33,33,,,246103624610435+1866344+0,246101524611765+1866001+0,1,
33,33,,,246106124610632+1866350+0,246106124610632+1866012+0,1,
33,33,,,246106124610633+1866350+0,246106124610633+1866012+0,1,
33,33,,,246106724610844+1866350+0,246106724610844+1866012+0,1,
33,33,,,246104624610563+1866360+0,246104624610563+1866027+0,1,
33,33,,,246109524611751+1866360+0,246109524611751+1866027+0,1,
33,33,,,246101524611765+1866368+0,246101524610295+1866049+0,1,
33,33,,,246106124610634+1866369+0,246106124610634+1866047+0,1,
33,33,,,246108924610913+1866369+0,246108924610913+1866047+0,1,
33,33,,,246103224610412+1866371+0,246103224610332+1866050+0,1,
33,33,,,246101524611765+1866651+0,246103624610435+1866062+0,1,
33,33,,,246104624610562+1866652+0,246104624610562+1866063+0,1,
33,33,,,246104624610564+1866652+0,246104624610564+1866063+0,1,
33,33,,,246108924610914+1866652+0,246108924610914+1866063+0,1,
33,33,,,246109524611753+1866652+0,246109524611753+1866063+0,1,
33,33,,,246103224610332+1866654+0,246103224610412+1866066+0,1,
33,33,,,246103924610412+1866654+0,246103224610412+1866066+0,1,
33,33,,,246100124610015+1866812+0,246100124610015+1866071+0,1,
33,33,,,246106124610634+1866813+0,246106124610634+1866072+0,1,
33,33,,,246106724610842+1866813+0,246106724610842+1866072+0,1,
33,33,,,246100424610051+1866918+0,246100424610051+1866081+0,1,
33,33,,,246104624610563+1866918+0,246104624610563+1866081+0,1,
33,33,,,246106024610651+1871937+0,246106024610651+1871416+0,1,
33,33,,,246106024610656+1871937+0,246106024610656+1871416+0,1,
33,33,,,246107224610866+1871937+0,246107224610866+1871416+0,1,
33,33,,,246108824610931+1871937+0,246108824610931+1871416+0,1,
33,33,,,246110024611776+1871954+0,246110024611776+1871450+0,1,
33,33,,,246100924610306+1871969+0,246100924610306+1871482+0,1,
33,33,,,246101024610527+1871970+0,246101024610527+1871483+0,1,
33,33,,,246109424611717+1871970+0,246109424611717+1871483+0,1,
33,33,,,246105124610586+1871971+0,246105124610586+1871484+0,1,
33,33,,,246106024610651+1871971+0,246106024610651+1871484+0,1,
33,33,,,246107224610866+1871971+0,246107224610866+1871484+0,1,
33,33,,,246100224610026+1872006+0,246100224610026+1871548+0,1,
33,33,,,246101024610527+1872011+0,246101024610527+1871553+0,1,
33,33,,,246103724610446+1872013+0,246103724610446+1871555+0,1,
33,33,,,246101024610527+1872071+0,246101024610527+1871621+0,1,
33,33,,,246103524610424+1872072+0,246103524610424+1871622+0,1,
33,33,,,246108824610936+1872072+0,246108824610936+1871622+0,1,
33,33,,,246110024611776+1872072+0,246110024611776+1871622+0,1,
33,33,,,246109424611717+1872089+0,246109424611717+1871655+0,1,
33,33,,,246103724610446+1872091+0,246103724610446+1871657+0,1,
33,33,,,246100324610037+1872103+0,246100324610037+1871686+0,1,
33,33,,,246100324610037+1872121+0,246100324610037+1871722+0,1,
33,33,,,246103524610424+1872126+0,246103524610424+1871727+0,1,
33,33,,,246103724610446+1872127+0,246103724610446+1871728+0,1,
33,33,,,246105124610586+1872144+0,246105124610586+1871756+0,1,
33,33,,,246106024610656+1872144+0,246106024610656+1871756+0,1,
33,33,,,246100724610074+1872158+0,246100724610074+1871779+0,1,
33,33,,,246100924610306+1872160+0,246100924610306+1871781+0,1,
33,33,,,246103524610424+1872162+0,246103524610424+1871783+0,1,
33,33,,,246106024610656+1872162+0,246106024610656+1871783+0,1,
33,33,,,246109424611717+1872169+0,246109424611717+1871791+0,1,
33,33,,,246103524610424+1872170+0,246103524610424+1871792+0,1,
33,33,,,246105124610586+1872170+0,246105124610586+1871792+0,1,
33,33,,,246105924610597+1872172+0,246105924610597+1871794+0,1,
33,33,,,246100224610026+1871804+0,246100224610026+1871211+0,1,
33,33,,,246106024610651+1871837+0,246106024610651+1871256+0,1,
33,33,,,246103724610446+1871838+0,246103724610446+1871257+0,1,
33,33,,,246100724610074+1871851+0,246100724610074+1871281+0,1,
33,33,,,246103524610424+1871855+0,246103524610424+1871285+0,1,
33,33,,,246106024610656+1871855+0,246106024610656+1871285+0,1,
33,33,,,246110024611776+1871855+0,246110024611776+1871285+0,1,
33,33,,,246100924610306+1871871+0,246100924610306+1871313+0,1,
33,33,,,246106624610807+1871872+0,246106624610807+1871314+0,1,
33,33,,,246110024611776+1871873+0,246110024611776+1871315+0,1,
33,33,,,246103724610446+1871874+0,246103724610446+1871316+0,1,
33,33,,,246100224610026+1871884+0,246100224610026+1871342+0,1,
33,33,,,246101024610527+1871889+0,246101024610527+1871347+0,1,
33,33,,,246105924610597+1871892+0,246105924610597+1871350+0,1,
33,33,,,246100224610026+1871906+0,246100224610026+1871374+0,1,
33,33,,,246107224610866+1871912+0,246107224610866+1871380+0,1,
33,33,,,246100324610037+1871932+0,246100324610037+1871411+0,1,
33,33,,,246101124610282+1866942+0,246101124610282+1866086+0,1,
33,33,,,246104624610563+1866942+0,246104624610563+1866086+0,1,
33,33,,,246106724610843+1866942+0,246106724610843+1866086+0,1,
33,33,,,246106724610844+1866942+0,246106724610844+1866086+0,1,
33,33,,,246109524611752+1866942+0,246109524611752+1866086+0,1,
33,33,,,246109524611753+1866942+0,246109524611753+1866086+0,1,
33,33,,,246103224610411+1866944+0,246103224610331+1866088+0,1,
33,33,,,246103224610411+1866944+0,246103924610411+1866088+0,1,
33,33,,,246101124610281+1867030+0,246101124610281+1866097+0,1,
33,33,,,246101124610282+1867030+0,246101124610282+1866097+0,1,
33,33,,,246104624610562+1867030+0,246104624610562+1866097+0,1,
33,33,,,246104624610563+1867030+0,246104624610563+1866097+0,1,
33,33,,,246106724610841+1867030+0,246106724610841+1866097+0,1,
33,33,,,246108924610912+1867030+0,246108924610912+1866097+0,1,
33,33,,,246105024611765+1867032+0,246101524611765+1866096+0,1,
33,33,,,246104624610561+1867231+0,246104624610561+1866112+0,1,
33,33,,,246106724610842+1867231+0,246106724610842+1866112+0,1,
33,33,,,246101124610281+1867317+0,246101124610281+1866127+0,1,
33,33,,,246101124610282+1867317+0,246101124610282+1866127+0,1,
33,33,,,246101124610283+1867317+0,246101124610283+1866127+0,1,
33,33,,,246104624610563+1867317+0,246104624610563+1866127+0,1,
33,33,,,246106724610844+1867317+0,246106724610844+1866127+0,1,
33,33,,,246108924610912+1867317+0,246108924610912+1866127+0,1,
33,33,,,246109524611753+1867317+0,246109524611753+1866127+0,1,
33,33,,,246100624610063+1867318+0,246100624610063+1866128+0,1,
33,33,,,246103224610411+1867319+0,246103924610401+1866129+0,1,
33,33,,,246104624610563+1867325+0,246104624610563+1866136+0,1,
33,33,,,246106124610632+1867325+0,246106124610632+1866136+0,1,
33,33,,,246104624610562+1867330+0,246104624610562+1866145+0,1,
33,33,,,246100424610051+1867339+0,246100424610051+1866156+0,1,
33,33,,,246101124610281+1867339+0,246101124610281+1866156+0,1,
33,33,,,246104624610561+1867339+0,246104624610561+1866156+0,1,
33,33,,,246104624610563+1867339+0,246104624610563+1866156+0,1,
33,33,,,246106724610842+1867339+0,246106724610842+1866156+0,1,
33,33,,,246109524611751+1867339+0,246109524611751+1866156+0,1,
33,33,,,246109524611754+1867339+0,246109524611754+1866156+0,1,
